DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES,Daily Avg Return,weekly Avg Return,monthly Avg Return,,,
30-Oct-25,EQ,"1,362.40","1,370.20","1,361.30","1,370.40","1,362.40","1,362.40","1,364.23","1,500.00","1,186.00","93,24,401","12,72,06,37,741.30","3,01,933",-0.58377%,,,,,
29-Oct-25,EQ,"1,364.60","1,371.70","1,358.40","1,363.10","1,371.60","1,370.40","1,365.15","1,500.00","1,186.00","1,61,29,382","22,01,90,31,340.90","3,53,776",0.53554%,,,,,
28-Oct-25,EQ,"1,373.00","1,375.80","1,356.20","1,377.60","1,366.20","1,363.10","1,361.81","1,500.00","1,186.00","2,64,77,914","36,05,79,49,499.50","4,80,704",-1.05256%,,,,,
27-Oct-25,EQ,"1,382.10","1,386.80","1,374.00","1,377.70","1,379.60","1,377.60","1,379.13","1,500.00","1,186.00","1,14,99,836","15,85,97,16,513.70","2,96,317",-0.00726%,,,,,
24-Oct-25,EQ,"1,368.10","1,381.60","1,368.10","1,363.70","1,378.00","1,377.70","1,376.15","1,500.00","1,186.00","1,05,70,263","14,54,62,56,446.30","2,54,633",1.02662%,,,,,
23-Oct-25,EQ,"1,385.00","1,389.80","1,360.10","1,382.00","1,364.30","1,363.70","1,375.57","1,500.00","1,186.00","2,11,24,942","29,05,87,72,536.50","4,01,439",-1.32417%,,,,,
21-Oct-25,EQ,"1,384.50","1,387.60","1,375.90","1,390.30","1,381.30","1,382.00","1,383.19","1,500.00","1,186.00","34,15,560","4,72,43,55,077.40","93,955",-0.59699%,,,,,
20-Oct-25,EQ,"1,442.00","1,445.00","1,389.20","1,436.60","1,393.00","1,390.30","1,401.64","1,500.00","1,186.00","2,33,30,227","32,70,04,79,176.40","6,70,783",-3.22289%,,,,,
17-Oct-25,EQ,"1,412.00","1,439.60","1,410.90","1,417.30","1,436.60","1,436.60","1,427.77","1,500.00","1,186.00","1,70,37,215","24,32,52,73,729.90","3,26,926",1.36174%,,,,,
16-Oct-25,EQ,"1,401.00","1,418.90","1,399.40","1,398.40","1,417.40","1,417.30","1,412.88","1,500.00","1,186.00","1,21,85,032","17,21,59,99,886.50","2,33,599",1.35154%,,,,,
15-Oct-25,EQ,"1,386.50","1,400.40","1,385.50","1,384.10","1,399.00","1,398.40","1,394.81","1,500.00","1,186.00","89,88,550","12,53,73,42,798.30","2,44,373",1.03316%,,,,,
14-Oct-25,EQ,"1,389.00","1,389.00","1,375.10","1,379.40","1,384.80","1,384.10","1,381.47","1,500.00","1,186.00","1,06,10,855","14,65,86,07,710.70","1,26,104",0.34073%,,,,,
13-Oct-25,EQ,"1,373.10","1,386.40","1,373.10","1,380.30","1,381.00","1,379.40","1,379.11","1,500.00","1,186.00","89,23,018","12,30,58,47,453.30","2,95,408",-0.06520%,,,,,
10-Oct-25,EQ,"1,370.30","1,385.00","1,370.30","1,376.20","1,380.40","1,380.30","1,380.18","1,500.00","1,186.00","76,73,816","10,59,12,67,726.70","1,36,734",0.29792%,,,,,
9-Oct-25,EQ,"1,369.80","1,378.70","1,365.10","1,370.30","1,374.00","1,376.20","1,374.50","1,500.00","1,186.00","79,09,575","10,87,16,77,779.10","1,75,558",0.43056%,,,,,
8-Oct-25,EQ,"1,372.30","1,381.60","1,364.30","1,375.90","1,367.80","1,370.30","1,372.13","1,500.00","1,186.00","81,00,832","11,11,53,59,090.30","1,76,755",-0.40701%,-2.30983104,,,,
7-Oct-25,EQ,"1,363.60","1,383.10","1,363.60","1,363.40","1,375.00","1,375.90","1,377.91","1,500.00","1,186.00","1,61,26,464","22,22,08,30,751.10","2,17,688",0.91683%,,,,,
6-Oct-25,EQ,"1,371.00","1,372.60","1,359.10","1,365.20","1,363.90","1,363.40","1,364.15","1,500.00","1,186.00","1,43,14,283","19,52,68,28,804.40","2,00,684",-0.13185%,,,,,
3-Oct-25,EQ,"1,371.90","1,371.90","1,361.30","1,372.00","1,365.00","1,365.20","1,366.86","1,500.00","1,186.00","1,21,63,695","16,62,61,22,666.10","1,92,526",-0.49563%,,,,,
1-Oct-25,EQ,"1,348.00","1,379.40","1,347.10","1,348.00","1,372.00","1,372.00","1,368.92","1,500.00","1,186.00","2,09,52,632","28,68,25,59,363.90","4,90,279",1.78042%,,,,,
30-Sep-25,EQ,"1,353.70","1,356.60","1,342.60","1,348.10","1,348.90","1,348.00","1,349.21","1,500.00","1,186.00","2,01,66,871","27,20,93,26,360.40","2,14,277",-0.00742%,,,,,
29-Sep-25,EQ,"1,359.60","1,366.50","1,346.20","1,359.60","1,350.00","1,348.10","1,352.69","1,500.00","1,186.00","2,05,63,163","27,81,56,85,218.20","2,77,001",-0.84584%,,,,,
26-Sep-25,EQ,"1,368.00","1,372.70","1,357.00","1,375.80","1,362.50","1,359.60","1,363.33","1,500.00","1,186.00","1,83,42,280","25,00,66,44,406.50","1,83,369",-1.17750%,,,,,
25-Sep-25,EQ,"1,377.00","1,391.50","1,371.80","1,382.70","1,373.70","1,375.80","1,378.32","1,500.00","1,186.00","2,16,13,389","29,79,00,90,966.10","1,96,991",-0.49902%,,,,,
24-Sep-25,EQ,"1,386.40","1,390.90","1,376.50","1,394.30","1,383.00","1,382.70","1,382.20","1,500.00","1,186.00","97,35,678","13,45,66,84,266.10","2,10,851",-0.83196%,,,,,
23-Sep-25,EQ,"1,391.00","1,403.30","1,391.00","1,401.50","1,396.10","1,394.30","1,396.75","1,500.00","1,186.00","1,28,27,524","17,91,68,01,862.90","1,97,247",-0.51374%,,,,,
22-Sep-25,EQ,"1,403.90","1,409.90","1,397.20","1,402.20","1,402.20","1,401.50","1,403.29","1,500.00","1,186.00","88,47,948","12,41,62,09,740.20","1,13,260",-0.04992%,,,,,
19-Sep-25,EQ,"1,416.10","1,418.00","1,400.20","1,421.70","1,402.50","1,402.20","1,404.18","1,500.00","1,186.00","1,34,57,344","18,89,65,59,650.80","1,72,737",-1.37160%,,,,,
18-Sep-25,EQ,"1,431.10","1,432.80","1,415.30","1,419.20","1,423.00","1,421.70","1,422.48","1,500.00","1,186.00","81,30,537","11,56,55,63,636.60","1,65,955",0.17616%,,,,,
17-Sep-25,EQ,"1,420.10","1,426.10","1,416.40","1,421.60","1,417.20","1,419.20","1,420.85","1,500.00","1,186.00","74,84,283","10,63,40,07,393.70","1,31,200",-0.16882%,,,,,
16-Sep-25,EQ,"1,414.00","1,424.90","1,413.70","1,419.40","1,422.40","1,421.60","1,420.63","1,500.00","1,186.00","82,13,151","11,66,78,59,743.80","1,39,536",0.15500%,,,,,
15-Sep-25,EQ,"1,422.00","1,426.80","1,416.30","1,417.70","1,418.00","1,419.40","1,421.99","1,500.00","1,186.00","58,45,637","8,31,24,11,904.60","1,30,816",0.11991%,,,,,
12-Sep-25,EQ,"1,405.10","1,419.70","1,400.10","1,401.60","1,417.50","1,417.70","1,412.86","1,500.00","1,186.00","77,70,038","10,97,79,91,343.80","1,65,154",1.14869%,,,,,
11-Sep-25,EQ,"1,398.00","1,408.00","1,396.00","1,403.90","1,401.60","1,401.60","1,403.25","1,500.00","1,186.00","1,01,92,026","14,30,19,23,215.80","1,81,447",-0.16383%,,,,,
10-Sep-25,EQ,"1,410.00","1,413.70","1,402.10","1,403.70","1,403.30","1,403.90","1,407.17","1,500.00","1,186.00","74,52,347","10,48,67,22,637.70","2,16,180",0.01425%,,,,,
9-Sep-25,EQ,"1,399.00","1,407.50","1,395.20","1,402.70","1,402.40","1,403.70","1,401.81","1,500.00","1,186.00","64,70,679","9,07,06,76,168.90","1,29,854",0.07129%,,,,,
8-Sep-25,EQ,"1,402.20","1,410.60","1,397.60","1,402.80","1,403.00","1,402.70","1,404.56","1,500.00","1,186.00","58,80,943","8,26,01,53,082.30","1,33,142",,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AVG daily return,0.01327%,,,,,
